ST,group,canonical_id,CC
ST779,1,3528,CC779
ST752,2,4484,CC398
ST3096,2,20075,CC398
ST3785,2,12225,CC398
ST3795,2,12404,CC398
ST2197,2,4419,CC398
ST398,2,1677,CC398
ST3773,2,3098,CC398
ST3798,2,3086,CC398
ST3794,2,12394,CC398
ST4159,2,4402,CC398
ST1232,2,4501,CC398
ST3102,2,1897,CC398
ST3649,2,408,CC398
ST2377,2,433,CC398
ST3101,2,1914,CC398
ST1709,2,1583,CC398
ST1570,2,409,CC398
ST1094,3,15034,ST1094
ST291,4,4094,CC291
ST3535,4,15215,CC291
ST3126,4,2410,CC291
ST580,5,7782,ST580
ST3442,6,7864,CC30
ST3098,6,1117,CC30
ST3437,6,7998,CC30
ST2898,6,22903,CC30
ST2047,6,15086,CC30
ST3458,6,4228,CC30
ST36,6,614,CC30
ST3423,6,15199,CC30
ST3430,6,7936,CC30
ST30,6,4167,CC30
ST605,6,40636,CC30
ST3530,6,23706,CC30
ST3932,6,4184,CC30
ST1163,6,8015,CC30
ST3452,6,4242,CC30
ST1564,6,4277,CC30
ST1534,6,4034,CC30
ST34,6,4237,CC30
ST1580,6,31755,CC30
ST243,6,20395,CC30
ST39,6,4204,CC30
ST2444,6,27059,CC30
ST1536,6,34160,CC30
ST433,6,3633,CC30
ST3692,6,3630,CC30
ST1073,7,30262,ST1073
ST3351,8,4127,CC45
ST1165,8,4192,CC45
ST3459,8,7945,CC45
ST3536,8,15220,CC45
ST2443,8,27047,CC45
ST54,8,23092,CC45
ST3464,8,23699,CC45
ST1016,8,3229,CC45
ST3784,8,9540,CC45
ST1532,8,7930,CC45
ST3443,8,7826,CC45
ST1560,8,3427,CC45
ST508,8,23097,CC45
ST46,8,23655,CC45
ST45,8,4290,CC45
ST10,9,10730,ST10
ST712,10,2972,CC133
ST2305,10,3634,CC133
ST478,10,3444,CC133
ST132,10,2934,CC133
ST481,10,2854,CC133
ST2488,10,2925,CC133
ST3058,10,2965,CC133
ST701,10,2970,CC133
ST3721,10,2951,CC133
ST419,10,31740,CC133
ST3720,10,31743,CC133
ST3820,10,3603,CC133
ST133,10,1690,CC133
ST2491,10,31681,CC133
ST3616,10,3017,CC133
ST3800,10,31718,CC133
ST750,10,2824,CC133
ST3763,10,3566,CC133
ST3137,10,3032,CC133
ST1247,10,1707,CC133
ST3093,10,1355,CC133
ST2150,10,2838,CC133
ST1729,10,31710,CC133
ST3718,10,2834,CC133
ST2682,10,23982,CC133
ST1743,11,2615,CC425
ST3105,11,2617,CC425
ST2675,11,2640,CC425
ST3092,11,2698,CC425
ST3120,11,2439,CC425
ST3097,11,839,CC425
ST425,11,34641,CC425
ST2640,11,2630,CC425
ST2328,12,418,ST2328
ST2767,13,39625,ST2767
ST136,14,2947,ST136
ST611,15,3905,CC182
ST182,15,4130,CC182
ST522,16,31732,ST522
ST816,17,20066,ST816
ST707,18,1803,ST707
ST890,19,1781,ST890
ST479,20,375,ST479
ST3090,21,2378,CC2173
ST3091,21,2592,CC2173
ST2173,21,790,CC2173
ST2361,21,1757,CC2173
ST3119,21,2598,CC2173
ST1943,21,641,CC2173
ST446,22,37980,CC446
ST1021,22,841,CC446
ST3124,23,1340,CC130
ST3095,23,808,CC130
ST2024,23,823,CC130
ST3123,23,831,CC130
ST1944,23,1754,CC130
ST227,23,679,CC130
ST130,23,675,CC130
ST3108,23,1338,CC130
ST3107,23,850,CC130
ST3131,23,849,CC130
ST1581,23,981,CC130
ST1583,23,979,CC130
ST1571,23,1002,CC130
ST3061,23,435,CC130
ST1945,23,2704,CC130
ST3716,23,2352,CC130
ST2899,23,1488,CC130
ST1526,23,636,CC130
ST1245,23,1424,CC130
ST2573,23,1128,CC130
ST2676,23,2350,CC130
ST3115,23,1623,CC130
ST3138,23,2430,CC130
ST3094,23,1809,CC130
ST2011,23,2662,CC130
ST2490,23,2713,CC130
ST521,23,1777,CC130
ST3132,23,1291,CC130
ST3044,23,2958,CC130
ST3366,23,1774,CC130
ST1739,23,2618,CC130
ST700,23,10731,CC130
ST3139,23,1837,CC130
ST3528,23,2365,CC130
ST3765,23,3609,CC130
ST3114,23,1512,CC130
ST2944,23,2431,CC130
ST3111,23,1324,CC130
ST3133,23,1303,CC130
ST1764,23,1797,CC130
ST123,24,4169,CC95
ST1693,24,4050,CC95
ST3449,24,7803,CC95
ST2430,24,2761,CC95
ST946,24,4183,CC95
ST95,24,7879,CC95
ST3365,24,1765,CC95
ST121,24,2785,CC95
ST2160,25,7680,ST2160
ST599,26,21788,CC599
ST2508,26,2414,CC599
ST2179,26,1131,CC599
ST2766,27,23940,CC1956
ST1956,27,877,CC1956
ST2616,28,1756,ST2616
ST49,29,28339,CC49
ST3106,29,883,CC49
ST138,29,1134,CC49
ST2273,29,661,CC49
ST1957,29,870,CC49
ST50,30,4109,ST50
ST718,31,905,ST718
ST3453,32,15194,CC59
ST3435,32,15219,CC59
ST1224,32,7870,CC59
ST59,32,4123,CC59
ST338,32,17804,CC59
ST177,33,1641,ST177
ST93,34,17986,ST93
ST3134,35,1708,CC151
ST1074,35,30271,CC151
ST151,35,1715,CC151
ST3140,35,19688,CC151
ST152,36,3701,ST152
ST2274,37,596,CC22
ST218,37,353,CC22
ST2916,37,522,CC22
ST3791,37,12289,CC22
ST3788,37,12482,CC22
ST3806,37,12260,CC22
ST3775,37,9533,CC22
ST1586,37,1372,CC22
ST1582,37,1395,CC22
ST229,37,624,CC22
ST2894,37,625,CC22
ST3136,37,1552,CC22
ST22,37,341,CC22
ST3436,37,4055,CC22
ST2031,37,600,CC22
ST2046,37,973,CC22
ST3113,37,1643,CC22
ST3811,37,3509,CC22
ST3456,37,7808,CC22
ST2893,37,314,CC22
ST3455,37,4110,CC22
ST3122,37,1825,CC22
ST3774,37,9525,CC22
ST3441,37,7798,CC22
ST3427,37,7898,CC22
ST2371,37,477,CC22
