sample length
DRX100168 710
DRX100175 710
DRX100178 710
DRX100181 747
DRX100186 747
DRX100191 747
DRX100194 747
DRX100198 747
DRX100200 710
DRX100201 710
DRX100202 1176
DRX100202 853
DRX100203 747
DRX100204 747
DRX100206 747
DRX100212 747
DRX100213 747
DRX100217 747
DRX100218 747
DRX100219 747
DRX100220 747
DRX100221 747
DRX100228 747
DRX100230 1332
DRX100239 747
DRX100242 710
DRX100246 495
DRX100256 710
DRX100257 747
DRX100259 747
DRX100261 710
DRX100264 747
DRX100265 710
DRX100267 747
DRX100273 747
DRX100278 710
DRX100279 747
DRX100280 747
DRX100284 747
DRX100286 710
DRX100290 72
DRX100296 747
DRX100298 710
DRX100301 72
DRX100306 710
DRX100307 710
DRX100309 747
DRX100314 747
DRX100319 747
DRX100320 747
DRX100322 747
DRX100326 4441
DRX100330 747
DRX100332 747
DRX100338 4399
DRX100338 747
DRX100342 747
DRX100345 1332
DRX100350 710
DRX100352 710
DRX100354 710
DRX100359 747
DRX100360 747
DRX100366 747
DRX100379 710
DRX100381 747
DRX100391 747
DRX100393 710
DRX100394 747
DRX100396 747
DRX100399 710
DRX100408 341
DRX112228 495
DRX112229 710
DRX115925 710
DRX115927 710
DRX115932 710
DRX115934 747
DRX115935 342
DRX115940 1173
DRX115940 747
DRX115941 710
DRX115947 710
DRX115948 710
DRX115950 710
DRX115951 710
DRX115956 710
DRX115957 710
DRX115960 710
DRX115965 710
DRX115969 710
DRX115972 710
DRX115973 747
DRX115976 747
DRX115980 747
DRX115981 710
DRX115982 710
DRX115984 747
DRX115988 710
DRX115989 710
DRX115990 710
DRX115991 710
DRX115992 710
DRX115993 710
DRX115997 710
DRX116004 747
DRX116005 710
DRX116009 710
DRX116011 747
DRX116014 710
DRX116022 1352
DRX116026 2151
DRX116042 710
DRX116043 710
DRX116044 710
DRX116046 710
DRX116047 710
DRX116048 710
DRX116049 710
DRX116050 710
DRX116052 710
DRX116056 747
DRX116057 710
DRX116059 710
DRX116060 710
DRX116062 710
DRX116063 710
DRX116068 710
DRX116071 710
DRX144003 710
DRX150721 710
DRX161830 710
DRX161831 710
DRX161832 710
DRX161833 710
DRX161834 710
DRX161835 710
DRX161853 710
DRX171090 710
DRX178032 710
DRX178033 710
DRX178036 747
DRX193535 710
DRX193540 747
DRX193541 710
DRX193543 747
DRX203032 710
DRX203040 4441
DRX203044 4441
DRX203048 747
DRX203063 710
DRX203065 341
DRX203065 4446
DRX203066 1166
DRX203066 830
DRX203067 342
DRX203067 4446
DRX203067 488
DRX203068 341
DRX203068 4446
DRX203068 488
DRX203069 342
DRX203069 4448
DRX203069 488
DRX203070 342
DRX203070 4448
DRX203070 488
DRX203071 342
DRX203072 342
DRX203072 4445
DRX203072 488
DRX203073 342
DRX203073 488
DRX216548 4441
DRX216557 1182
DRX216557 4441
DRX216561 4441
DRX216562 710
DRX216563 4441
DRX216565 747
DRX216566 747
DRX216567 710
DRX216569 747
DRX216570 523
DRX216571 4441
DRX216573 710
DRX216574 710
DRX216575 710
DRX216577 4441
DRX217504 2793
DRX217504 700
DRX217505 2793
DRX217505 747
DRX217506 710
DRX217507 710
DRX217508 747
DRX217510 710
DRX217511 710
DRX217512 710
DRX217513 2793
DRX217513 710
DRX217514 2793
DRX217514 710
DRX217516 710
DRX217517 2793
DRX217517 710
DRX217519 710
DRX217521 710
DRX217522 710
DRX217523 2793
DRX217523 710
DRX217525 710
DRX217526 2793
DRX217526 710
DRX217527 747
DRX217528 2793
DRX217528 710
DRX217529 747
DRX217530 2793
DRX217530 495
DRX217531 537
DRX217531 710
DRX226196 422
DRX226197 710
DRX226198 495
DRX226199 495
DRX226200 710
DRX226201 710
DRX226203 710
DRX226204 710
DRX226206 710
DRX226209 710
DRX226210 710
DRX226214 260
DRX226215 495
DRX226216 710
DRX226218 495
DRX226219 396
DRX226220 495
DRX226221 432
DRX226222 710
DRX226223 495
DRX226224 422
DRX226226 495
DRX226227 710
DRX226229 710
DRX226236 710
DRX226240 495
DRX226241 495
DRX226242 710
DRX226244 495
DRX226245 710
DRX226246 495
DRX226247 495
DRX226250 385
DRX226251 710
DRX226252 453
DRX226253 495
DRX226254 495
DRX226258 495
DRX226259 345
DRX226260 710
DRX226261 495
DRX226262 462
DRX226265 710
DRX226266 462
DRX226267 306
DRX226268 495
DRX226269 710
DRX226270 489
DRX226271 710
DRX226272 495
DRX226273 710
DRX226274 710
DRX226275 495
DRX226276 489
DRX226277 710
DRX226278 710
DRX226279 710
DRX226280 710
DRX226281 495
DRX226283 381
DRX226284 454
DRX226285 495
DRX226286 710
DRX226287 495
DRX226288 710
DRX226289 462
DRX226291 495
DRX226292 710
DRX226294 710
DRX226296 455
DRX226297 710
DRX226300 495
DRX226301 710
DRX226302 710
DRX226303 495
DRX226304 710
DRX226306 710
DRX226307 495
DRX226308 495
DRX226310 495
DRX226311 495
DRX226312 710
DRX226313 710
DRX226315 495
DRX226316 710
DRX226317 495
DRX226318 710
DRX226320 710
DRX226321 710
DRX226322 486
DRX226323 495
DRX226324 495
DRX226325 710
DRX226326 495
DRX226327 710
DRX226328 710
DRX226329 495
DRX226332 385
DRX226333 315
DRX226334 472
DRX226335 484
DRX226336 324
DRX226337 710
DRX226340 710
DRX226341 710
DRX226342 495
DRX226343 495
DRX226344 495
DRX226345 710
DRX226346 710
DRX226347 495
DRX226349 710
DRX226353 710
DRX226354 710
DRX226355 710
DRX226356 495
DRX226357 710
DRX226358 710
DRX226360 710
DRX226361 495
DRX226362 495
DRX226363 710
DRX226364 495
DRX226365 495
DRX226366 710
DRX226367 495
DRX226368 710
DRX226369 495
DRX226370 710
DRX226371 362
DRX226373 495
DRX226374 495
DRX226375 710
DRX226389 710
DRX226390 710
DRX227444 747
DRX227445 710
DRX227446 747
DRX227447 710
DRX227448 710
DRX227449 2797
DRX227449 710
DRX227451 710
DRX227452 710
DRX227454 2793
DRX227454 747
DRX227455 710
DRX227457 710
DRX227458 747
DRX227459 710
DRX227461 710
DRX262049 710
DRX262051 3018
DRX262053 710
DRX262055 747
DRX262056 710
DRX262057 710
DRX262058 710
DRX262059 710
DRX262060 710
DRX262065 2793
DRX262065 345
DRX262066 710
DRX262067 710
DRX262068 710
DRX262069 4458
DRX262071 710
DRX262073 710
DRX262074 1332
DRX262075 710
DRX262077 495
DRX262078 710
